Program Name,Acronym,Agency,Prime Contractor,City,State,ZIP Code,Contract Number,Contract Value,Period Start,Period End
Army Next-Gen C2 Prototype,NGC2,Army,Anduril,COSTA MESA,CALIFORNIA,92626,FA882024FB003,"$19,333,902.53",2024-09-27,2026-03-26
Army Research Lab / Adelphi Labs,ARL,Army,SAIC,COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Army RS3 (Expanded PEO EIS Listing),RS3,Army,"Multiple (Belcan, SAIC, many)",COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
ARNG G-2 Intelligence IT Support,,Army,SAIC,COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,Lockheed Martin,FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
Basic Ordering Agreement (NG BOA),BOA,Other,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,GDIT (incumbent pre-MPE),SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),COLORADO SPRINGS,COLORADO,80912,FA251822F0034,"$2,893,647.82",2022-06-27,2026-06-28
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
BOA (General Staff Augmentation),BOA,Other,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
BOA (Northrop Surge),BOA,Other,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Business Operations & Analytics,BOA,DoD,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,Lockheed Martin,GRAND PRAIRIE,TEXAS,75051,W31P4Q20C0023,"$10,475,203,569.62",2020-04-30,2033-09-30
CAAC (Peraton),CAAC,DoD,Peraton,FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,CACI,COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
CBP Enterprise IT Support,CBP-Peraton,DHS,Peraton,MC LEAN,VIRGINIA,22101,GST0011AJ0025,"$609,128,623.96",2011-02-02,2018-05-02
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,ManTech (TPVS/BISS); CACI (BISS follow-on),HERNDON,VIRGINIA,20171,70B04C20F00001357,"$251,830,777.48",2021-09-26,2026-09-25
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,PALO ALTO,CALIFORNIA,94301,W911QX24F0053,"$292,680,689.24",2024-06-18,2026-05-31
CENTCOM Comms Tech Support V,CTSS V,DoD,GovCIO (Salient CRGT),COLUMBIA,MARYLAND,21046,36C10B22N10030034,"$308,757,507.34",2022-08-23,2026-08-22
CENTCOM Enterprise IT Modernization,,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
CISA Enterprise Support (CACI),CISA-CACI,DHS,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
Cloud One,Cloud One,Air Force,SAIC,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
Cloud One (USAF Cloud Program),Cloud One,Air Force,SAIC,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),HERNDON,VIRGINIA,20171,47QFCA20F0015,"$600,708,181.07",2019-12-18,2026-12-17
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,Northrop Grumman,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,Lockheed Martin,GRAND PRAIRIE,TEXAS,75051,W31P4Q20C0023,"$10,475,203,569.62",2020-04-30,2033-09-30
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Northrop Grumman,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
"Command and Control, Battle Management, Communications",C2BMC,MDA,Lockheed Martin,,NEW MEXICO,,DEAC0494AL85000,"$48,066,473,048.89",1993-10-15,2017-04-30
Common Open Operational Launch Range,COOLR,Space Force,Lockheed Martin (indicative),FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
Comms Technical Support V,CTSS V,DoD,GovCIO (Salient CRGT),COLUMBIA,MARYLAND,21046,36C10B22N10030034,"$308,757,507.34",2022-08-23,2026-08-22
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,CACI (via L-3 NSS acquisition),COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,CACI,COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
Conventional Prompt Strike,CPS,Army,Lockheed Martin,FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
CTSS V (Expanded Listing),CTSS V,DoD,GovCIO,COLUMBIA,MARYLAND,21046,36C10B22N10030034,"$308,757,507.34",2022-08-23,2026-08-22
Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),MC LEAN,VIRGINIA,22101,GST0011AJ0025,"$609,128,623.96",2011-02-02,2018-05-02
DC3 – Defense Cyber Crime Center,DC3,DoD,Peraton,FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,Peraton,FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
Defense Cyber Crime Center,DC3,DoD,Peraton,FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
Defense Enclave Services,DES,DoD,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,MCLEAN,VIRGINIA,22102,47QFCA22F0047,"$998,940,122.69",2022-09-06,2026-09-05
Defense Enterprise Office Solutions,DEOS,DISA,CSRA / Leidos (team),FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Defense Health Agency Desktop to Datacenter,D2D,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,Peraton,HERNDON,VIRGINIA,20171,47QFCA20F0015,"$600,708,181.07",2019-12-18,2026-12-17
DFAS Enterprise Support,DFAS-Peraton,DoD,Peraton,HERNDON,VIRGINIA,20171,47QFCA20F0015,"$600,708,181.07",2019-12-18,2026-12-17
DGFS (RTX),DGFS,DoD,Raytheon (RTX),EAST HARTFORD,CONNECTICUT,06118,N0001918C1021,"$8,688,654,906.89",2018-03-23,2024-12-30
DHS Data Center 2,DC2,DHS,GDIT / Peraton (indicative),MC LEAN,VIRGINIA,22101,GST0011AJ0025,"$609,128,623.96",2011-02-02,2018-05-02
DHS Enterprise IT Services I,EITS I,DHS,Leidos / SAIC (indicative),SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,CACI,ARLINGTON,VIRGINIA,22203,47QFRA24F0005,"$681,999,277.86",2024-05-01,2026-04-30
DIA EMERALD,EMERALD,NGA,Peraton (Perspecta heritage),HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
DIA Information Systems Engineering Office,ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DIA Infrastructure Services Ops,ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DIA IT Sustainment & Engineering Office,ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DIA SITE III IDIQ,SITE III,DIA,"Leidos, CACI, others",ARLINGTON,VIRGINIA,22203,47QFRA24F0005,"$681,999,277.86",2024-05-01,2026-04-30
DIMS (Peraton),DIMS,Air Force,Peraton,HERNDON,VIRGINIA,20171,47QFCA20F0015,"$600,708,181.07",2019-12-18,2026-12-17
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,MORGANTOWN,WEST VIRGINIA,26507,89243318CFE000003,"$960,260,804.00",2018-12-31,2028-12-30
DISA GSM-O II,GSM-O II,DISA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,ABERDEEN PROVING GROUND,MARYLAND,21005,W91CRB20F0448,"$290,537,976.81",2020-09-01,2024-05-31
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,ROCKVILLE,MARYLAND,20850,FA821413C0001,"$2,118,906,843.81",2013-08-01,2026-07-31
DLA J6 Enterprise Technology Services,DLA JETS,DoD,CACI; Deloitte; SAIC; GDIT,STERLING,VIRGINIA,20164,SAQMMA12C0130,"$1,219,847,693.56",2012-06-08,2019-09-07
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Leidos; GDIT; Booz Allen; CACI; Peraton,WASHINGTON,DISTRICT OF COLUMBIA,20301,47QFCA21F0018,"$1,379,603,153.12",2021-03-09,2025-02-15
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,CACI; GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,Leidos; Cerner; Accenture,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,SAIC,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,CACI (incumbent),ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DSS Support,DSS Support,DoD,Northrop (mention); others,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,RESTON,VIRGINIA,20191,GSQ0017AJ0006,"$960,038,373.03",2016-10-28,2022-02-28
DTRA Integrated IT Support Services,I3TS,DoD,Leidos,RESTON,VIRGINIA,20190,70T04019C9DAP3006,"$862,620,736.01",2019-10-01,2025-03-31
DTRA Integrated IT Support Services,DTRA I3TS,DoD,Leidos,RESTON,VIRGINIA,20190,70T04019C9DAP3006,"$862,620,736.01",2019-10-01,2025-03-31
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
DTRA IT Support Modernization,I3TS,DoD,Leidos,RESTON,VIRGINIA,20190,70T04019C9DAP3006,"$862,620,736.01",2019-10-01,2025-03-31
DTRA IT Support Services,I3TS,DoD,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,COLORADO SPRINGS,COLORADO,80912,FA251822F0034,"$2,893,647.82",2022-06-27,2026-06-28
EDIS / HADES (follow-on),EDIS/HADES,Space Force,SAIC / Army,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
EITaaS (Pilot – USAF),EITaaS,Air Force,CACI (pilot),COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
Engineering Development & Integration Support,EDIS,Space Force,SAIC (via Engility),COLORADO SPRINGS,COLORADO,80912,FA251822F0034,"$2,893,647.82",2022-06-27,2026-06-28
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,CACI,COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
EUCOM/AFRICOM IT & Comms,,DoD,CACI,RESTON,VIRGINIA,20191,GSQ0017AJ0006,"$960,038,373.03",2016-10-28,2022-02-28
EUCOM/AFRICOM IT & Comms Support,,Air Force,CACI,COLORADO SPRINGS,COLORADO,80919,FA882316C0004,"$600,725,818.08",2016-06-13,2025-12-09
F-35 Sustainment,F-35 Sustainment,DoD,Lockheed Martin,FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
Fort Eisenhower (Gordon) IT Support,,Army,SAIC,COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Future Operationally Resilient Ground Evolution,FORGE,Space Force,Raytheon (Mission Data Apps); BAE (C2),EAST HARTFORD,CONNECTICUT,06118,N0001918C1021,"$8,688,654,906.89",2018-03-23,2024-12-30
GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),ANAHEIM,CALIFORNIA,92805,N0003022C2001,"$421,512,821.00",2021-10-01,2029-09-08
GBSD Sentinel Missile Modernization,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
GENMOD / VMOD (Network Modernization),GENMOD,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
Global Broadcast Service,GBS,DISA,L3Harris,ANAHEIM,CALIFORNIA,92805,N0003022C2001,"$421,512,821.00",2021-10-01,2029-09-08
Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,HOUSTON,TEXAS,77058,NNJ09HD46C,"$1,306,805,321.14",2008-11-07,2018-02-28
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,Leidos,HOUSTON,TEXAS,77058,NNJ09HD46C,"$1,306,805,321.14",2008-11-07,2018-02-28
Global Service Management – Operations II,GSM-O II,DISA,Leidos,MORGANTOWN,WEST VIRGINIA,26507,89243318CFE000003,"$960,260,804.00",2018-12-31,2028-12-30
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Leidos,MORGANTOWN,WEST VIRGINIA,26507,89243318CFE000003,"$960,260,804.00",2018-12-31,2028-12-30
Global Solutions Management – Operations II,GSMO II,DISA,Leidos,HOUSTON,TEXAS,77058,NNJ09HD46C,"$1,306,805,321.14",2008-11-07,2018-02-28
GMD Weapon System (Ground C2),GWS (GMD),MDA,Northrop Grumman,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
GMD Weapon System Modernization,GWS (GMD),MDA,Northrop Grumman,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,AURORA,COLORADO,80011,FA880710C0001,"$4,398,059,466.01",2010-02-25,2026-03-31
GPS Operational Control System (sustainment),GPS OCX,Space Force,Raytheon,AURORA,COLORADO,80011,FA880710C0001,"$4,398,059,466.01",2010-02-25,2026-03-31
GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Ground-Based Interceptor,GBI,MDA,Boeing (lead),CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
Ground-Based Strategic Deterrent,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
HHS Advanced Secure Data Repository,ASDR,DoD,GDIT / SAIC (indicative),SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Hope 2.0 (prototype),Hope 2.0,Space Force,SAIC,SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,Northrop & L3Harris (co-primes),CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
INSCOM GILE Support,GILE,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,GDIT,STERLING HEIGHTS,MICHIGAN,48310,W56HZV19C0036,"$1,359,959,159.89",2018-12-17,2026-10-17
INSCOM IT Support Services III,I2TS-III,Army,GDIT,STERLING HEIGHTS,MICHIGAN,48310,W56HZV19C0036,"$1,359,959,159.89",2018-12-17,2026-10-17
Integrated Air & Missile Defense,IAMD,Army,Raytheon,ANDOVER,MASSACHUSETTS,01810,W31P4Q15C0022,"$5,608,431,752.51",2014-12-19,2025-05-31
Integrated Base Defense Security System,IBDS,Army,Leidos,RESTON,VIRGINIA,20190,70T04019C9DAP3006,"$862,620,736.01",2019-10-01,2025-03-31
Integrated Digital Engineering Environment,IDEE,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Integrated Situational Awareness Environment,inSITE,Army,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Integrated Situational Awareness Tool Environment,inSITE,DISA,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
